model_id	sample_id	sample_origin	passage	host_strain_nomenclature	platform_id
TM00958	HN1210541F105P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00013	BL0058F037P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00096	BR0851F002P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00335	OV1828F082P0000P1008P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00929	LV1026F11P021P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000094100	J000095326	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000078366	J000079989	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000100646	J000102432	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000106560	PS4050	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00057	BN217F007P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01594	TM01594F062P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01002	BL0591F111P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00053	BN199F001P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00062	BN245F007P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01079	TM01079F259P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
