model_id	sample_id	sample_origin	passage	host_strain_nomenclature	platform_id
TM00330	OV0452F1592P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
TM01565	TM01565F279P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000104518	J000105344	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
J000106562	DFAB-56509-V0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00064	BN250F008P0007P1011P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM01145	TM01145F189P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00311	PA0231F1502P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
TM00184	CN0486F016P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
J000108157	J000109380	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00013	BL0058F037P0000P1011P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00199	LG0703F948P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hg10st
TM01284	TM01284F744P0237P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM01446	TM01446F1263P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00164	CN0375F725P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hg10st
TM01096	TM01096F029P0000P1000P2019P3	xenograft	3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM01498	TM01498F11P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000099257	J000103716	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000108112	J000113010	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00314	PA0258F006P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
TM00860	LG1429F264P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000104117	SGJ104123F001P3	xenograft	3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
J000106571	DFBL-44685-V1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00192	LG0567F671P0001P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hg10st
TM00090	BR0744F098P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM01448	TM01448F1275P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000107333	J000110071	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00134	CN0330F215P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hg10st
J000103917	J000105383	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00061	BN243F006P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hg10st
TM00375	CN1573F2130P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
TM00356	LG0552F574P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hg10st
TM01360	TM01360F928P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000099318	J000101528	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00077	BN294F091P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
TM01155	TM01155F231P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000112414	J000113531	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM01044	LY2238AF016P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00194	LG0627PE001P0001P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hg10st
TM00832	LG1191aF2114P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
J000106565	DFAM-16835-V1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
J000102326	SGJ102326F001P4	xenograft	4	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00927	OV11094F172P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00137	CN1264F031P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
TM00113	BR1180FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00067	BN264F005P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hg10st
TM00302	LG1306aF130P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
J000111615	J000114146	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM01173	TM01173F307P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000106561	DFAB-39722-V1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00039	SA0151F1887P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
TM00089	BR0620F039P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hg10st
TM00096	BR0851F002P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM01225	TM01225F511P0301P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00212	LG0978F1565P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000109799	J000114328	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00051	BN194F001P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hg10st
J000106134	DFAM-61786-V2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00231	LG1197F385P0000P1011P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00784	LG1208aF025P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
J000106143	DFAM-84910-V1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM01264	TM01264FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM01098	TM01098F034P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM01533	TM01533F148P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00387	KD0459PEPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hg10st
TM00053	BN199FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hg10st
TM00702	SK1260F017P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
TM00263	LG1287F122P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
TM01446	TM01446F14P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00058	BN218FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hg10st
TM01464	TM01464F1331P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000106573	DFTL-94393-V3	xenograft	3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00190	LG0542F5281P0000P1013P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00060	BN237F004P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hg10st
TM00185	LG0476F211P0000P1001P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM01076	LV1032F051P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM01353	TM01353F925P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000102630	SGJ102640F002P4	xenograft	4	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM01244	TM01244F584P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000111054	J000111809	xenograft	5	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
J000106146	DFMD-76960-V2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM01085	TM01085F064P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000106565	DFAM-16835-V1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00203	LG0801F1250P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM01557	TM01557F247P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM01243	TM01243F578P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000106142	DFAM-80115-V1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000100674	J000101829	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00999	BR1240F002P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000106532	BCM-3561	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM01053	RP2246FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000106124	DFAM-15354-V2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM01400	TM01400F1114P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00107	BR1936F227P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00112	BR1172F146P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
TM00206	LG0812PE1332P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hg10st
J000100646	J000103692	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM01545	TM01545F197P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000100675	J000104166	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
J000078604	J000080793	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000106566	DFAM-32000-V1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
J000102680	SGJ102687F002P4	xenograft	4	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00023	BL0429F1608P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00072	BN278F002P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
TM00253	LG1260F097P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00387	KD0459PE400P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hg10st
TM00062	BN245FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hg10st
TM00356	LG0552F574P0000P1027P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00376	SA0568F023P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
J000106536	BCM-3613	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00026	BL0479F1895P0002P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00219	LG1049F1704P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM01302	TM01302F815P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000106531	BCM-3204	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000106567	DFAL-49600-V2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00188	LG0520F433P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
